Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Bangladesh,BGD,"Population, total",SP.POP.TOTL,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372,..
Australia,AUS,"Population, total",SP.POP.TOTL,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26005540,..
Cambodia,KHM,"Population, total",SP.POP.TOTL,15417523,15624584,15830689,16025238,16207746,16396860,16589023,16767842,..
China,CHN,"Population, total",SP.POP.TOTL,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,..
French Polynesia,PYF,"Population, total",SP.POP.TOTL,291787,293541,295450,297606,299717,301920,304032,306279,..
India,IND,"Population, total",SP.POP.TOTL,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842,1417173173,..
Indonesia,IDN,"Population, total",SP.POP.TOTL,259091970,261850182,264498852,267066843,269582878,271857970,273753191,275501339,..
Japan,JPN,"Population, total",SP.POP.TOTL,127141000,127076000,126972000,126811000,126633000,126261000,125681593,125124989,..
Malaysia,MYS,"Population, total",SP.POP.TOTL,31068833,31526418,31975806,32399271,32804020,33199993,33573874,33938221,..
Maldives,MDV,"Population, total",SP.POP.TOTL,435582,454252,472442,489758,504508,514438,521457,523787,..
Mongolia,MNG,"Population, total",SP.POP.TOTL,2964749,3029555,3096030,3163991,3232430,3294335,3347782,3398366,..
Myanmar,MMR,"Population, total",SP.POP.TOTL,51483949,51892349,52288341,52666014,53040212,53423198,53798084,54179306,..
Nepal,NPL,"Population, total",SP.POP.TOTL,27610325,27861186,28183426,28506712,28832496,29348627,30034989,30547580,..
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25258015,25389611,25516321,25638149,25755441,25867467,25971909,26069416,..
New Zealand,NZL,"Population, total",SP.POP.TOTL,4609400,4714100,4813600,4900600,4979200,5090200,5111400,5124100,..
Pakistan,PAK,"Population, total",SP.POP.TOTL,210969298,213524840,216379655,219731479,223293280,227196741,231402117,235824862,..
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8682174,8899169,9114796,9329227,9542486,9749640,9949437,10142619,..
Philippines,PHL,"Population, total",SP.POP.TOTL,103031365,104875266,106738501,108568836,110380804,112190977,113880328,115559009,..
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51014947,51217803,51361911,51585058,51764822,51836239,51744876,51628117,..
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21336697,21425494,21506813,21670000,21803000,21919000,22156000,22181000,..
Thailand,THA,"Population, total",SP.POP.TOTL,70294397,70607037,70898202,71127802,71307763,71475664,71601103,71697030,..
Viet Nam,VNM,"Population, total",SP.POP.TOTL,92191398,93126529,94033048,94914330,95776716,96648685,97468029,98186856,..
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,
Last Updated: 05/30/2024,,,,,,,,,,,,
